isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Eminem,"Sürmene, Trabzon, Turkey",,Trabzon,solo,7dGJo4pcD2V6oG8kP0tJRR,Eminem,107609740.0,88.0,"rap, hip hop","rap, hip hop","rap, pop, hip hop",
sezen aksu,,,,,64d1rUxfizSAOE9UbMnUZd,sezen aksu,14371911.0,71.0,"arabesk, turkish pop","arabesk, turkish pop",pop,turkish pop
müslüm gürses,,,,,4cMwyqmHCwJjRZ3frIVHTr,müslüm gürses,9734855.0,66.0,arabesk,arabesk,"halk, arabesk, pop, rock",arabesk
Tını,"Adana, Adana, Turkey",,Adana,grup,7vXDAI8JwjW531ouMGbfcp,TINI,9451340.0,75.0,latin pop,latin pop,,
ahmet kaya,,,,,1Y2FwScblyMxpLTrNdfwyU,ahmet kaya,7597217.0,68.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
duman,,,,,6RTC1abMgBC7Krg6qJQHJh,duman,7584873.0,64.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
ezhel,,,,,6LnJKrtFnTEGdbWQ2riWCL,ezhel,7109230.0,67.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop","trap, rap, pop","turkish trap, turkish hip hop"
uzi,,,,,51DevdOxIJin6DB1FXJpD1,uzi,6969070.0,77.0,"turkish hip hop, drill",melodic rap,rock,turkish trap
blok3,,,,,1GMwSpFzrLd12jUX15bHB6,blok3,6572128.0,76.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,
semicenk,,,,,1CcZoULzFHa8Uhwo6OlQcp,semicenk,6287249.0,71.0,"turkish pop, arabesk, turkish hip hop","turkish pop, arabesk, turkish hip hop",,turkish pop
divine,,,,,4Ai0pGz6GhQavjzaRhPTvz,DIVINE,6190411.0,64.0,"hindi hip hop, desi hip hop, punjabi hip hop, punjabi pop","hindi hip hop, desi hip hop, punjabi hip hop, punjabi pop",,
Sade,"Ankara, Ankara, Turkey",,Ankara,grup,47zz7sob9NUcODy0BTDvKx,Sade,5529663.0,78.0,,"mariachi, música mexicana",,
mabel matiz,,,,,1dpqJqIuNqideTvmxBsSku,mabel matiz,5498768.0,65.0,turkish pop,turkish pop,,turkish pop
sagopa kajmer,,,,,1KXTegXtnCPKXjRaX1llcD,sagopa kajmer,5450617.0,66.0,"turkish hip hop, rap","turkish hip hop, rap",rap,"turkish trap, turkish hip hop"
ceza,,,,,28Qbi9jTj2eej21P2mImZI,ceza,5245766.0,60.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
lvbel c5,,,,,0V2oXYR7DtrZAEFeILRW2r,lvbel c5,5177422.0,76.0,"turkish hip hop, drill, turkish pop","turkish hip hop, drill, turkish pop",rap,"turkish trap, turkish hip hop"
ebru gündeş,,,,,5AboYJAlMb9FGadTTDKRoN,ebru gündeş,4317240.0,69.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk, turkish folk"
gazapizm,,,,,2boacFGRX1WIo7NFS8B0F2,gazapizm,4216388.0,62.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,turkish hip hop
tarkan,,,,,2yMN0IP20GOaN6q0p0zL5k,tarkan,4065672.0,71.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
ati242,,,,,6bGOmNBU1AOgttgOjh0ldf,ati242,4035597.0,72.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
yildiz tilbe,,,,,4525TiJDbBD4mZJ7EZArT0,yildiz tilbe,3969300.0,65.0,"arabesk, turkish pop","arabesk, turkish pop",,
cem adrian,,,,,2AWUCT9xtcvkjpFq1ZgpPj,cem adrian,3775421.0,60.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish rock, turkish singer-songwriter"
afgan,,,,,4cgBCGxtlfap2g6jveB7du,Afgan,3710557.0,68.0,"indonesian pop, malay, indonesian r&b","indonesian pop, malay, indonesian r&b",,
no.1,,,,,4fR3W8XFXsqHB8f8IqEr1y,no.1,3694104.0,64.0,turkish hip hop,,r&b,turkish hip hop
neşet ertaş,,,,,1afML5pJuVr3ye8TGyYcV2,neşet ertaş,3266525.0,53.0,"arabesk, oyun havasi, karadeniz folk, anatolian rock","arabesk, oyun havasi, karadeniz folk, anatolian rock",halk,turkish folk
Emir Can İğrek,"Çerkezköy, Tekirdağ, Turkey",,Tekirdağ,solo,4XP7cGw4t8BqZ8Du5q3bHg,Emir Can İğrek,3236935.0,62.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
emir,,,,,4XP7cGw4t8BqZ8Du5q3bHg,emir,3233736.0,63.0,turkish pop,turkish pop,,turkish pop
Paradox,"İzmir, İzmir, Turkey",,İzmir,grup,3fWcIRZlzhMl2YNACMvHui,Paradox,3218983.0,59.0,"hindi hip hop, desi hip hop, punjabi hip hop, punjabi pop",,,
reynmen,,,,,1Fg19vpUJpAAPFjnKaVYVW,reynmen,3206093.0,60.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,"turkish pop, turkish hip hop"
Dolu Kadehi Ters Tut,"İstanbul, İstanbul, Turkey",,İstanbul,grup,0PhqM7UAxtvWYi5j4MwxSl,Dolu Kadehi Ters Tut,3173398.0,64.0,,,"alternatif, rock","turkish rock, turkish alt-pop"
cakal,,,,,6CPZWzcKiOKkHn4L2XI4i2,cakal,3123449.0,63.0,"turkish hip hop, drill","turkish hip hop, drill",rap,
barış manço,,,,,3eVuump9qyK0YCQQo4mKbc,barış manço,3098032.0,61.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk","rock, latin","turkish rock, turkish psych"
İbrahim Tatlıses,"Şanlıurfa, Şanlıurfa, Turkey",,Şanlıurfa,solo,0gPgE6wLLiPnrakh9WcsdQ,İbrahim Tatlıses,3091333.0,67.0,"arabesk, oyun havasi, turkish pop",,,
sefo,,,,,1ITjgqpqMDJlqZGAK3mlPQ,sefo,3021738.0,62.0,"turkish hip hop, turkish pop",,reggae,turkish trap
ben fero,,,,,2kS0jWMkkFBL0mrl0VotD0,ben fero,3004179.0,58.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
yüzyüzeyken konuşuruz,,,,,7gobcoscOfsY0nOeqqFzvU,yüzyüzeyken konuşuruz,2962761.0,61.0,turkish pop,turkish pop,"indie, folk",turkish rock
şebnem ferah,,,,,74xBVPWYoSf5pvo5IkePRO,şebnem ferah,2773492.0,68.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
manga,,,,,7rEIUw67hRTgievwuKQGSj,manga,2748226.0,56.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
teoman,,,,,40KlwpvpKEQtZTJgbml8lT,teoman,2649791.0,61.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
mor ve ötesi,,,,,5ixQSDvAMa5O758xG8MWXT,mor ve ötesi,2638495.0,62.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",
yalın,,,,,46zuW8tHxwahYn7VNMgYTa,yalın,2602691.0,69.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
KiNo,"Ankara, Ankara, Turkey",,Ankara,solo,2jkl2xJVm71azWAgZKyf42,Kino,2588512.0,62.0,"post-punk, cold wave",,,
zeynep bastık,,,,,1mpOD8ZwHnbsryIuXWq0R1,zeynep bastık,2493553.0,61.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,turkish pop
serdar ortaç,,,,,7BJjzi0JHyDHAsmVe21dGa,serdar ortaç,2446891.0,66.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
gülşen,,,,,1F2v33FQTavJyaD7ZsyhdA,gülşen,2430453.0,66.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Murat Boz,"Zonguldak, Turkey",,Zonguldak,solo,53oeVgECSa18dkHBQ9X6Eh,Murat Boz,2408860.0,64.0,"turkish pop, t-pop",,,
pinhani,,,,,4Bdqzh78prwuqwInMb555P,pinhani,2402150.0,58.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","halk, pop, rock, alternatif","turkish pop, turkish rock"
Sıla,"Acıpayam, Denizli, Turkey",,Denizli,solo,5gFPi3KWXEwA9bLEO47Ow0,Sıla,2391888.0,62.0,"turkish pop, arabesk",,,
sertab erener,,,,,4W31XN2JH8mC54NkHdh04s,sertab erener,2363098.0,66.0,turkish pop,turkish pop,,"turkish pop, turkish jazz, turkish singer-songwriter"
dedublüman,,,,,5PRW6j58xEEWL4DDVEITKT,dedublüman,2357876.0,66.0,"arabesk, turkish pop","arabesk, turkish pop","alternatif, rock",
simge,,,,,4StjyzjcmZ7a9QncHVf0pu,simge,2341037.0,64.0,"turkish pop, t-pop",,,"turkish pop, deep turkish pop"
hadise,,,,,0wCKNMsqYasJBFVagjay49,Hadise,2321482.0,59.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
edis,,,,,1AM52XHXnWAEqnQwpxTLWm,edis,2245989.0,59.0,"turkish pop, t-pop",choral,rap,turkish pop
adamlar,,,,,1g4J8P1JWwanNyyXckRX5W,adamlar,2237204.0,59.0,anatolian rock,anatolian rock,rock,turkish rock
demet akalin,,,,,1U449OOb70EZlElNjLMwCM,demet akalin,2217281.0,64.0,"turkish pop, t-pop","turkish pop, t-pop",pop,
hande yener,,,,,08mjMUUjyTchMHCW7evc3R,hande yener,2175280.0,66.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
norm ender,,,,,3S6gaE89XewFAvZqsMuJDJ,norm ender,2114453.0,60.0,turkish hip hop,turkish hip hop,rap,
heijan,,,,,0KOSzgkMlkeowt1tgIg6ca,heijan,2098286.0,63.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,turkish hip hop
buray,,,,,1qZ684TB9E1BjH58btdtYd,Buray,2094191.0,58.0,turkish pop,turkish pop,pop,turkish pop
cem karaca,,,,,1lIbZfJvMQRqzhtCQsg5EI,cem karaca,2029955.0,55.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish rock, turkish psych"
batuflex,,,,,15AZJFNrXtIN4Nk8BIOnS2,batuflex,2006637.0,65.0,"turkish hip hop, drill","turkish hip hop, drill",rap,"turkish trap, turkish hip hop"
tuğçe kandemir,,,,,50z4meqYMvVCXEv2jDneDN,Tuğçe Kandemir,1950484.0,56.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
melike şahin,,,,,16GyR4WfCnIT2XST4ZLl2B,melike şahin,1931248.0,61.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish alt-pop, turkish singer-songwriter"
bilal sonses,,,,,6iBdV6h17D1kOnK9lFyWo3,bilal sonses,1905315.0,51.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
motive,,,,,6sBSLIunx1Je0Y2T77wpkP,motive,1853048.0,76.0,turkish hip hop,,,"turkish trap, turkish hip hop"
bergen,,,,,0OjAaymO59uGiFmfpJrQpl,bergen,1830809.0,53.0,arabesk,"ballet, classical, orchestral, expressionism",,arabesk
göksel,,,,,4i4ALRtQQmFxn3BCIB6iC0,göksel,1826892.0,61.0,turkish pop,turkish pop,,turkish pop
bengü,,,,,6wxh9aTFgTS4OiyYlnQBq6,bengü,1807144.0,63.0,"turkish pop, arabesk, t-pop","turkish pop, t-pop, arabesk",,turkish pop
merve özbey,,,,,74IYRdqa9EFKMMXUIjGyxM,merve özbey,1804765.0,62.0,"turkish pop, arabesk, t-pop","turkish pop, arabesk, t-pop",,turkish pop
model,,,,,23xJQJM7peht77DF6YNEoq,model,1792547.0,62.0,"turkish pop, anatolian rock",bedroom pop,dans,turkish rock
sibel can,,,,,2IiSMrjpXiteqhISWXkdUG,sibel can,1762609.0,60.0,"arabesk, turkish pop","arabesk, turkish pop",dans,"turkish pop, arabesk, turkish folk"
canbay & wolker,,,,,1hgaXjbAcED2p80Lj8dzXT,Canbay & Wolker,1697140.0,58.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,"turkish trap, turkish hip hop"
mavi gri,,,,,4otJVkrLLqDF8OxFJOigme,mavi gri,1689465.0,58.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Yaşlı Amca,"Ankara, Ankara, Turkey",,Ankara,grup,4Vr0nv4nM4aqWfj76zDTTp,Yaşlı Amca,1683284.0,54.0,,,"alternatif, rock",turkish rock
gripin,,,,,3Z814BstLaKbLqKHXsht8O,gripin,1655942.0,60.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,"turkish pop, turkish rock"
oğuzhan koç,,,,,1nFJWl30l3PAHei86OxN0i,oğuzhan koç,1653718.0,60.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Sabotage,"İstanbul, İstanbul, Turkey",,İstanbul,grup,5deK5HnwbEKvge2svL0i0B,Sabotage,1644629.0,57.0,"brazilian hip hop, boom bap",,,
melek mosso,,,,,5IAxUWLiTMsvc1oWPrczNj,melek mosso,1624363.0,56.0,"arabesk, turkish pop, turkish hip hop","arabesk, turkish pop, turkish hip hop",,"turkish pop, turkish rock, turkish alt-pop"
haluk levent,,,,,1UV3ii5FWWXF3jkZVeA2bb,haluk levent,1621016.0,53.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",rock,"turkish pop, turkish rock"
madrigal,,,,,2aZlYOswKNlrwqpuTsckKd,madrigal,1608360.0,58.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
eypio,,,,,6h5P3J0j1x2lhiDk9w4deZ,eypio,1581830.0,63.0,"turkish hip hop, turkish pop, arabesk","turkish hip hop, turkish pop, arabesk",rap,"turkish pop, turkish hip hop"
İrem Derici,"İstanbul, İstanbul, Turkey",,İstanbul,solo,5h2jTdwf4p0dM34aBykPzZ,İrem Derici,1569709.0,57.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
derya uluğ,,,,,7A6T0nTpXnPXDUGM1yEjEj,derya uluğ,1569655.0,57.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
onur can özcan,,,,,2QslFlDyZVpLYwfqyRDkNs,Onur Can Özcan,1569498.0,60.0,"turkish pop, arabesk","turkish pop, arabesk",pop,"turkish pop, turkish rock, turkish hip hop"
cengiz kurtoğlu,,,,,73wqUOsgp2DZd4IAmf48Gn,cengiz kurtoğlu,1557627.0,58.0,arabesk,arabesk,"arabesk, taverna",arabesk
selda bağcan,,,,,2NGRETzxjeN4b9o3OGY6Yn,selda bağcan,1554817.0,55.0,"anatolian rock, arabesk","anatolian rock, arabesk","halk, rock","turkish folk, turkish psych"
gökhan türkmen,,,,,4uGB0nZ5d1iCXS3sHR3pzm,gökhan türkmen,1552140.0,64.0,turkish pop,turkish pop,,turkish pop
şehinşah,,,,,0FUsrstJwmg4WVHQMTYuUA,şehinşah,1527954.0,59.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
ziynet sali,,,,,7zVYyYhGZxvPHPuhzReYHP,Ziynet Sali,1521691.0,58.0,"turkish pop, arabesk","turkish pop, arabesk, t-pop","pop, klasik",turkish pop
poizi,,,,,250LLR8V4fFq1XFzAB1ZN5,Poizi,1510102.0,69.0,turkish hip hop,turkish hip hop,,
mustafa ceceli,,,,,3cNwyF5SboOs9icz2XyotE,mustafa ceceli,1486544.0,57.0,"turkish pop, karadeniz folk, arabesk","turkish pop, karadeniz folk, arabesk",,turkish pop
seksendört,,,,,7IgzsWd4tWIn70uh6dAq8d,seksendört,1475768.0,57.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock","turkish pop, turkish rock"
azer bülbül,,,,,2E7qpjo4NUBhV8tEUdPVkJ,azer bülbül,1458611.0,61.0,"arabesk, turkish hip hop, oyun havasi","arabesk, turkish hip hop, oyun havasi","halk, fantezi, arabesk",arabesk
era7capone,,,,,4UW9Hdsrx9kX2HdJ90jRKM,era7capone,1444997.0,71.0,turkish hip hop,turkish hip hop,rap,
yüksek sadakat,,,,,3SrFQDUN5DXQDZc3kygriW,yüksek sadakat,1435409.0,55.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",rock,"turkish pop, turkish rock"
ferdi tayfur,,,,,6WLkcqDXHgfe80TNMH1C5z,ferdi tayfur,1425029.0,57.0,arabesk,arabesk,,arabesk
tuğkan,,,,,2h1EEQ0lD01lPKDRGisvL4,tuğkan,1424279.0,54.0,turkish pop,turkish pop,,
velet,,,,,7bchfd9ZihGesFniE7tM71,velet,1419093.0,57.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,
burak bulut,,,,,2a2YSCx78HHWVOsCuMpeXz,Burak Bulut,1375594.0,63.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
funda arar,,,,,6g7GF7BLC41JTHJwgB4wQW,funda arar,1354450.0,59.0,"turkish pop, arabesk","turkish pop, arabesk",pop,turkish pop
organize,,,,,5W2dGRPmYetOpUIpErUtD3,organize,1336135.0,67.0,"turkish hip hop, drill","turkish hip hop, drill",,turkish hip hop
candan erçetin,,,,,51YBtWvwOP37hIGmnxf4yC,candan erçetin,1330225.0,53.0,"turkish pop, oyun havasi, arabesk","turkish pop, oyun havasi, arabesk",,turkish pop
yener çevik,,,,,5rBUMBV7L6zPsEKnlgiOm9,yener çevik,1306536.0,57.0,"turkish hip hop, arabesk","turkish hip hop, arabesk",rap,"turkish trap, turkish hip hop"
koray avci,,,,,3sV7ijrP5xMHgWRlOnPTCi,koray avci,1302204.0,49.0,"arabesk, turkish pop, karadeniz folk, oyun havasi","arabesk, turkish pop, karadeniz folk, oyun havasi",,
nilüfer,,,,,3iVIrcJmrV7GawrxVWsBUF,nilüfer,1298479.0,59.0,"turkish pop, arabesk, anatolian rock","turkish pop, arabesk, anatolian rock",,turkish pop
kenan doğulu,,,,,2RQ8NtUmg5y6tfbvCwX8jI,kenan doğulu,1294342.0,64.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
İkiye On Kala,"İzmir, İzmir, Turkey",,İzmir,solo,1HsQw7SuwmxSH4r2aqF9DB,İkiye On Kala,1256520.0,50.0,turkish pop,turkish pop,,"turkish pop, turkish rock"
patron,,,,,2r8iLFeSTuOiZualHmSXxS,patron,1256086.0,52.0,turkish hip hop,"corridos tumbados, corrido, corridos bélicos, sierreño, sad sierreño",,"turkish trap, turkish hip hop"
kalben,,,,,4sldxVDeyb0J8OMoYApqfV,kalben,1242544.0,61.0,turkish pop,turkish pop,,"turkish rock, turkish singer-songwriter"
zakkum,,,,,70Ya7DKJEo20SAkxjirYnu,zakkum,1228884.0,53.0,"turkish pop, arabesk, anatolian rock","turkish pop, arabesk, anatolian rock",,"turkish pop, turkish rock"
aleyna tilki,,,,,4ckLjJztj53Ifid7WHweBn,aleyna tilki,1227400.0,61.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
murat dalkılıç,,,,,6dDaXbE1caD65TONToYXYx,murat dalkılıç,1227016.0,62.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Son Feci Bisiklet,"Ankara, Ankara, Turkey",,Ankara,grup,4q2SZIdLq6YTc9cZLCclWc,Son Feci Bisiklet,1225273.0,54.0,,,"alternatif, rock",
murda,,,,,2y1VzMKAa5nmfXKtJL9jnj,Murda,1207329.0,64.0,"turkish hip hop, turkish pop",,rap,"turkish trap, turkish trap, turkish hip hop"
contra,,,,,3tJELJoPZ4VTKmL0vppqLj,contra,1206309.0,51.0,turkish hip hop,"pagode, samba, axé",,"turkish trap, turkish hip hop"
elmusto,,,,,1Tjaa3WWIVU00kfZ8Dvpcl,elmusto,1201728.0,56.0,turkish hip hop,turkish hip hop,"alternative, alternatif",turkish hip hop
KC Rebell,"Pazarcık, Kahramanmaraş, Turkey","Essen, Nordrhein-Westfalen, Germany",Kahramanmaraş,solo,5p7mWeX4RlvqBCxylfiXdE,KC Rebell,1201387.0,63.0,german hip hop,,,
mfö,,,,,2jbrqAuwSdvwcMTbtvncND,MFÖ,1180913.0,51.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","pop, rock","turkish pop, turkish rock"
kâzım koyuncu,,,,,03YhQQYWzaAU3HAQAJzIHG,kâzım koyuncu,1168742.0,52.0,"karadeniz folk, arabesk, anatolian rock, oyun havasi","karadeniz folk, arabesk, anatolian rock, oyun havasi",rock,"turkish pop, turkish rock, turkish folk, turkish singer-songwriter"
emre aydın,,,,,66vIaZFb8okZH0npc4eQ5q,emre aydın,1167777.0,58.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
ebru yaşar,,,,,0Qbd0AGWuzggX61s306wZN,ebru yaşar,1164904.0,61.0,"turkish pop, arabesk, oyun havasi","turkish pop, arabesk, oyun havasi",,"turkish pop, arabesk, deep turkish pop"
kaan boşnak,,,,,03cvjFEHz8eGwYHq1L0Pp2,kaan boşnak,1150789.0,54.0,turkish pop,turkish pop,,
taladro,,,,,2ShoGcsu8kekluGvbggGKQ,taladro,1144378.0,56.0,"turkish hip hop, arabesk","turkish hip hop, arabesk",,turkish hip hop
summer cem,,,,,3drqpTL4sQOckmAfF9i1wg,Summer Cem,1141934.0,63.0,german hip hop,german hip hop,rap,
İlyas Yalçıntaş,"Erzincan, Erzincan, Turkey",,Erzincan,solo,2ekGsQEkeMtYFA16Jjes2M,İlyas Yalçıntaş,1129490.0,53.0,turkish pop,turkish pop,,turkish pop
vio,,,,,0XkEUMM4lJHAzfTK9vR0cu,vio,1127998.0,56.0,"thai pop, t-pop, thai indie pop",,rap,"turkish trap, turkish hip hop"
mustafa sandal,,,,,0mkH5jj3goQ51JtPKVodTo,mustafa sandal,1126606.0,61.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
anıl piyancı,,,,,2u4xMsh0M2B7R8Wb3pEWae,anıl piyancı,1121058.0,55.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
athena,,,,,1Hy8tdpH9ygqoohumHZqVl,athena,1116813.0,52.0,"turkish pop, anatolian rock","hyperpop, jersey club, nightcore",,turkish rock
kahraman deniz,,,,,3nF0yXDatdq9xV279nEs5X,kahraman deniz,1114554.0,58.0,turkish pop,turkish pop,,"turkish pop, turkish rock"
şanışer,,,,,5LUxu287CsPM7jy3yS3l86,şanışer,1110717.0,55.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
soner sarıkabadayı,,,,,4T83el9VQDI0zOyU9zcYNq,soner sarıkabadayı,1094490.0,56.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
gülben ergen,,,,,6hypPYDPSsgioRRfBXve38,gülben ergen,1081161.0,56.0,"turkish pop, arabesk, t-pop","turkish pop, arabesk, t-pop",,"turkish pop, arabesk"
ece seçkin,,,,,1lfD2lvoDctsMr6grjYOb5,ece seçkin,1065923.0,49.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
nil karaibrahimgil,,,,,1PpRPZXSS5ka7m5NW2TO7q,nil karaibrahimgil,1063907.0,54.0,"turkish pop, t-pop","turkish pop, t-pop",pop,"turkish pop, turkish folk, turkish singer-songwriter"
kolpa,,,,,1QZYklqR55tZ6b5mK4LD41,Kolpa,1052774.0,55.0,turkish pop,turkish pop,rock,"turkish pop, turkish rock"
ajda pekkan,,,,,27XMnTLvCO7t3qGlQyTMkF,ajda pekkan,1051161.0,61.0,turkish pop,turkish pop,pop,"turkish pop, turkish psych"
sancak,,,,,3IiSjfHNSsynS08uC6w9u3,sancak,1038732.0,58.0,"turkish pop, turkish hip hop, arabesk","turkish pop, turkish hip hop, arabesk",,"turkish pop, turkish hip hop"
kibariye,,,,,1btod3aNfVEYNrEzIQgx90,kibariye,1014919.0,55.0,"arabesk, oyun havasi, turkish pop","arabesk, oyun havasi, turkish pop","arabesk, pop",arabesk
musa eroğlu,,,,,295s7rUdwD6adgPiYMRUAM,musa eroğlu,1013343.0,54.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,"arabesk, turkish folk"
manuş baba,,,,,6p4UYgBKfV1XMDvD9KrtTv,manuş baba,1009859.0,55.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish rock"
barış akarsu,,,,,0rHmlPHC63IGBTrtQEdDw6,barış akarsu,1004776.0,51.0,"anatolian rock, karadeniz folk, turkish pop","anatolian rock, karadeniz folk, turkish pop",rock,"turkish pop, turkish rock"
feride hilal akın,,,,,2dLBhX7dIdWL6Fsk9l0n1n,feride hilal akın,998745.0,50.0,turkish pop,turkish pop,"r&b, pop",turkish pop
Perdenin Ardındakiler,"Ankara, Ankara, Turkey",,Ankara,grup,1lMEWvvUlwzQ5OKB4w1HTn,Perdenin Ardındakiler,987061.0,54.0,,,,"turkish rock, turkish alt-pop"
hakan altun,,,,,2AhmWHekrahJri4f5e08Tf,hakan altun,974515.0,52.0,"arabesk, turkish pop","arabesk, turkish pop",rap,"turkish pop, arabesk"
güllü,,,,,533wb2q2kU814aFEWaIlG2,güllü,950422.0,58.0,arabesk,arabesk,,arabesk
köfn,,,,,3ZKkHPTZTq8z8pokwZiInd,KÖFN,939168.0,50.0,turkish pop,turkish pop,,turkish alt-pop
kurtuluş kuş,,,,,4jF4tHJlYKS5Z9xdEatCfq,Kurtuluş Kuş,937152.0,55.0,"turkish pop, arabesk","turkish pop, arabesk",,
ferhat göçer,,,,,13jj3uGldU7cSQLaFkf2Zm,ferhat göçer,936465.0,53.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
manifest,,,,,2WjzL05RyqIk5n53sZc9nf,manifest,929273.0,69.0,"turkish pop, t-pop","turkish pop, t-pop",,
muti,,,,,3NPQ2qMGXAR0g1COJxuZ8r,muti,919976.0,60.0,"turkish hip hop, turkish pop","opera, classical, orchestral",,turkish hip hop
ece mumay,,,,,5FK1YzcREfjBuxM8i7UtBe,ece mumay,919257.0,45.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,turkish pop
orhan gencebay,,,,,52S9QMQQA2k0LjtELttOVQ,orhan gencebay,915030.0,49.0,arabesk,arabesk,arabesk,"arabesk, turkish folk, turkish psych"
yaşar,,,,,50AOA3aPd6tc928KEYaljF,yaşar,891921.0,59.0,turkish pop,"turkish pop, arabesk, oyun havasi",pop,turkish pop
hayko cepkin,,,,,3hzijSzD6IwOV4SY2SiWQp,hayko cepkin,879746.0,58.0,anatolian rock,anatolian rock,,turkish rock
gülden karaböcek,,,,,2wioAsnSZ6JmA6I7Y7PDkc,gülden karaböcek,878062.0,53.0,"arabesk, anatolian rock","arabesk, anatolian rock","halk, fantezi, arabesk","arabesk, turkish folk"
diyar pala,,,,,23Q5T7JtqekFJMbC0XKxnh,Diyar Pala,876907.0,54.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop","r&b, rap",turkish hip hop
rafet el roman,,,,,5gs9qloTR5m6dM0ScMty3H,rafet el roman,869148.0,53.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
sena şener,,,,,7CW2eGwAuElNq09rVtZYsM,sena şener,869000.0,57.0,turkish pop,turkish pop,elektronik,"turkish rock, turkish alt-pop"
bege,,,,,6q1sTU51oryTTcWTPTd0VC,bege,863590.0,55.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
nazan öncel,,,,,4li4dx5mFgZlMVeHlARBHP,nazan öncel,863348.0,58.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish singer-songwriter"
derya bedavacı,,,,,6eBKQVpzyvlMoQaR7buvX8,Derya Bedavacı,857154.0,59.0,"arabesk, turkish pop","arabesk, turkish pop",,turkish pop
